simulations:200 population:240 rateOfInfect:1 rateOfRecovery:1 rateOfMoving:4,95 time:2018-07-04|10:40:59 kommentar:
55,765
54,48
55,43
53,88
54,57
51,865
56,135
55,305
57,57
49,99
54,625
59,18
49,635
58,9
47,025
50,28
47,11
58,78
59,51
53,04
56,355
46,975
51,14
51,065
48,7
43,17
62,795
50,12
47,165
45,01
45,435
53,16
54,39
56,455
44,235
54,495
43,83
41,41
53,56
50,365
53,175
39,375
57,315
45,885
50,28
45,375
43,37
38,84
41,435
47,37
44,785
43,08
47,59
43,6
42,445
41,57
37,645
54,76
42,515
43,365
40,73
47,07
38,785
48,55
45,545
32,78
42,03
40,695
44,935
41,395
33,155
41,69
30,08
35,765
40,035
38,28
23,025
39,375
27,45
44,91
41,265
33,455
33,42
34,91
32,68
26,19
36,56
34,6
43,265
39,325
25,58
34,845
22,68
35,955
29,79
31,425
33,185
24,37
27,055
28,065
