simulations:2000 population:240 rateOfInfect:0,7 rateOfRecovery:1 rateOfMoving:3,8 standardDiviation:True time:2018-07-04|14:59:39 kommentar:INterestingResult
18,509 5,093289
20,794 15,40495
22,609 22,02419
25,4845 31,9609
27,571 39,71664
28,1605 45,9719
29,7205 50,83615
34,7515 62,07711
33,2515 63,9258
37,167 70,26345
37,412 71,50658
35,988 71,75903
37,7245 74,26779
35,0075 72,65147
37,1435 75,23878
34,683 73,63124
35,1005 75,02135
34,655 74,73574
34,4465 74,73711
33,6505 74,41388
