simulations:10 population:100 rateOfInfect:0,1 rateOfRecovery:2 rateOfMoving:10 time:2018-07-02|21:50:54 kommentar:ChangingRateOfMoving
89,3
99,1
68,6
79,6
99,3
68,8
79,7
87,9
79,7
69,2
79,6
59,8
69,4
79,8
70,1
69,9
60,4
70
79,2
89,5
90,1
60,4
98,9
79,3
60,3
70,5
89,4
60,5
50,6
79,3
99,3
80
69,1
70,1
89,5
79,1
60,2
79,6
89,8
60,2
80
89,4
70,4
60,3
60,5
79,4
50,4
50,4
50,4
80,2
72,4
79,5
79,7
79,7
89,7
60,2
69,6
79,7
49,6
70,2
80,3
50,3
40,6
50,4
99,5
70,3
79,9
79,8
70,1
60,4
70,1
60,4
59,4
60,7
60,5
89,8
80
50,7
40,7
79,9
89,7
50,6
79,8
90
30,6
70,6
80,2
80,1
50,6
80,1
89,7
70
80,3
79,6
60,5
80
50,5
70,4
50,2
40,7
